[DEBUG] 2020-10-07 23:44:10.127 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-10-07 23:44:10.155 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-10-07 23:44:10.171 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-10-07 23:44:10.535 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-10-07 23:44:10.554 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-10-07 23:44:11.301 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-10-07 23:44:11.302 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-10-07 23:44:11.328 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-10-07 23:44:12.189 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-10-07 23:44:12.232 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-10-07 23:44:12.236 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-10-07 23:44:12.276 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-10-07 23:44:12.354 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@20411320
[DEBUG] 2020-10-07 23:44:12.356 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@20411320
[DEBUG] 2020-10-07 23:44:12.356 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@20411320
[DEBUG] 2020-10-07 23:44:12.357 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@7f5eae0f
[DEBUG] 2020-10-07 23:44:12.357 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@b0e5507
[DEBUG] 2020-10-07 23:44:12.358 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@1108adc8
[DEBUG] 2020-10-07 23:44:12.360 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@38a1a26
[DEBUG] 2020-10-07 23:44:12.360 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@38a1a26
[DEBUG] 2020-10-07 23:44:12.360 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@38a1a26
[DEBUG] 2020-10-07 23:44:12.365 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@2eb917d0
