[DEBUG] 2020-12-14 23:14:54.620 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-12-14 23:14:54.623 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-12-14 23:14:54.626 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-12-14 23:14:54.690 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-12-14 23:14:54.692 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-12-14 23:14:55.076 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-12-14 23:14:55.077 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-12-14 23:14:55.084 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-12-14 23:14:55.365 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-12-14 23:14:55.383 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-12-14 23:14:55.384 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-12-14 23:14:55.400 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-12-14 23:14:55.427 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7be7e15
[DEBUG] 2020-12-14 23:14:55.427 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7be7e15
[DEBUG] 2020-12-14 23:14:55.427 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@7be7e15
[DEBUG] 2020-12-14 23:14:55.428 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4248b963
[DEBUG] 2020-12-14 23:14:55.428 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@24b4d544
[DEBUG] 2020-12-14 23:14:55.428 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@72725ee1
[DEBUG] 2020-12-14 23:14:55.429 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4893b344
[DEBUG] 2020-12-14 23:14:55.429 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4893b344
[DEBUG] 2020-12-14 23:14:55.429 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@4893b344
[DEBUG] 2020-12-14 23:14:55.430 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@51b35e4e
[DEBUG] 2020-12-14 23:14:55.430 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@51b35e4e
[DEBUG] 2020-12-14 23:14:55.430 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@51b35e4e
[DEBUG] 2020-12-14 23:14:55.431 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@62db0521
[DEBUG] 2020-12-14 23:14:55.431 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@62db0521
[DEBUG] 2020-12-14 23:14:55.431 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@62db0521
[DEBUG] 2020-12-14 23:14:55.432 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@7be3a9ce
[DEBUG] 2020-12-14 23:14:55.432 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@7be3a9ce
[DEBUG] 2020-12-14 23:14:55.432 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@7be3a9ce
[DEBUG] 2020-12-14 23:14:55.433 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2b59501e
[DEBUG] 2020-12-14 23:14:55.433 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2b59501e
[DEBUG] 2020-12-14 23:14:55.433 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@2b59501e
[DEBUG] 2020-12-14 23:14:55.434 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@153cd6bb
[DEBUG] 2020-12-14 23:14:55.434 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@153cd6bb
[DEBUG] 2020-12-14 23:14:55.434 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@153cd6bb
[DEBUG] 2020-12-14 23:14:55.435 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@6428591a
[DEBUG] 2020-12-14 23:14:55.435 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@6428591a
[DEBUG] 2020-12-14 23:14:55.435 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@6428591a
[DEBUG] 2020-12-14 23:14:55.436 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@1d540566
