[DEBUG] 2020-10-21 19:19:56.588 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-10-21 19:19:56.593 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-10-21 19:19:56.605 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-10-21 19:19:56.771 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-10-21 19:19:56.776 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-10-21 19:19:57.273 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-10-21 19:19:57.273 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-10-21 19:19:57.286 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-10-21 19:19:57.837 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-10-21 19:19:57.882 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-10-21 19:19:57.886 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-10-21 19:19:57.921 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-10-21 19:19:57.972 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@28c86134
[DEBUG] 2020-10-21 19:19:57.972 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@28c86134
[DEBUG] 2020-10-21 19:19:57.978 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@28c86134
[DEBUG] 2020-10-21 19:19:57.979 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@5c1f6d57
[DEBUG] 2020-10-21 19:19:57.979 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@5cb5bb88
[DEBUG] 2020-10-21 19:19:57.980 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@671facee
[DEBUG] 2020-10-21 19:19:57.981 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@680a66dd
[DEBUG] 2020-10-21 19:19:57.981 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@680a66dd
[DEBUG] 2020-10-21 19:19:57.982 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@680a66dd
[DEBUG] 2020-10-21 19:19:57.982 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@76ddd61a
[DEBUG] 2020-10-21 19:19:57.983 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@76ddd61a
[DEBUG] 2020-10-21 19:19:57.983 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@76ddd61a
[DEBUG] 2020-10-21 19:19:57.988 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@33a3c44a
[DEBUG] 2020-10-21 19:19:57.988 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@33a3c44a
[DEBUG] 2020-10-21 19:19:57.988 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@33a3c44a
[DEBUG] 2020-10-21 19:19:57.989 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@28501a4b
[DEBUG] 2020-10-21 19:19:57.989 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@28501a4b
[DEBUG] 2020-10-21 19:19:57.989 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@28501a4b
[DEBUG] 2020-10-21 19:19:57.990 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@66c38e51
[DEBUG] 2020-10-21 19:19:57.990 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@66c38e51
[DEBUG] 2020-10-21 19:19:57.990 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@66c38e51
[DEBUG] 2020-10-21 19:19:57.991 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@4422dd48
[DEBUG] 2020-10-21 19:19:57.991 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@4422dd48
[DEBUG] 2020-10-21 19:19:57.992 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@4422dd48
[DEBUG] 2020-10-21 19:19:57.997 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@12968227
[DEBUG] 2020-10-21 19:19:57.997 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@12968227
[DEBUG] 2020-10-21 19:19:57.997 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@12968227
[DEBUG] 2020-10-21 19:19:57.998 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@2a066689
[DEBUG] 2020-10-21 19:19:57.998 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@2a066689
[DEBUG] 2020-10-21 19:19:57.999 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@79d06bbd
[DEBUG] 2020-10-21 19:19:57.999 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@79d06bbd
[DEBUG] 2020-10-21 19:19:58.000 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@3efedc6f
[DEBUG] 2020-10-21 19:19:58.000 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@3efedc6f
[DEBUG] 2020-10-21 19:19:58.000 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@5ff2b8ca
[DEBUG] 2020-10-21 19:19:58.001 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@7fcf294e
[DEBUG] 2020-10-21 19:19:58.005 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@3eabe84a
[DEBUG] 2020-10-21 19:19:58.006 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@3eabe84a
[DEBUG] 2020-10-21 19:19:58.006 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@6fd12c5
[DEBUG] 2020-10-21 19:19:58.006 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@6fd12c5
[DEBUG] 2020-10-21 19:19:58.013 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@2e060819
[DEBUG] 2020-10-21 19:19:58.013 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@2e060819
[DEBUG] 2020-10-21 19:19:58.017 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@216914
[DEBUG] 2020-10-21 19:19:58.017 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@216914
[DEBUG] 2020-10-21 19:19:58.018 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@61af1510
[DEBUG] 2020-10-21 19:19:58.019 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@61af1510
[DEBUG] 2020-10-21 19:19:58.019 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@3901f6af
